site,block,treatment,year,DW,y0,cover,E1
BAR,B,1,0,327.74,2014,NA,80
BAR,B,2,0,225.48,2014,NA,88
BAR,B,3,0,233.24,2014,NA,80
BAR,B,4,0,167.18,2014,NA,88
BAR,B,1,1,332.22,2015,NA,83
BAR,B,2,1,243.86,2015,NA,73
BAR,B,3,1,162.72,2015,NA,90
BAR,B,4,1,30.02,2015,NA,80
BAR,B,1,2,189.84,2016,NA,75
BAR,B,2,2,171.92,2016,NA,60
BAR,B,3,2,124.74,2016,NA,90
BAR,B,4,2,32.58,2016,NA,65
BAR,B,1,3,106.7,2017,NA,75
BAR,B,2,3,158.56,2017,NA,60
BAR,B,3,3,170.62,2017,NA,85
BAR,B,4,3,49.78,2017,NA,50
CER,1,1,1,94.04,2013,5,85
CER,1,2,1,35.58,2013,5,85
CER,1,3,1,25.9,2013,5,80
CER,1,4,1,4.4,2013,5,70
MIK,1,1,0,130.56,2014,25,60
MIK,1,2,0,170.8,2014,25,55
MIK,1,3,0,140.82,2014,25,75
MIK,1,4,0,172.56,2014,25,70
SVK,NA,1,0,186.86,2014,30,60
SVK,NA,2,0,169.54,2014,30,95
SVK,NA,3,0,166.04,2014,30,65
SVK,NA,4,0,152.66,2014,30,80
VCL,NA,1,0,94.68,2014,25,95
VCL,NA,2,0,135.22,2014,25,95
VCL,NA,3,0,162.42,2014,25,95
VCL,NA,4,0,232.6,2014,25,95
LOM,NA,1,0,224.72,2014,20,60
LOM,NA,2,0,275.52,2014,20,50
LOM,NA,3,0,214.4,2014,20,60
LOM,NA,4,0,201.68,2014,20,60
SKL,NA,1,0,214.5,2014,50,80
SKL,NA,2,0,223.3,2014,50,90
SKL,NA,3,0,216.9,2014,50,80
SKL,NA,4,0,124.7,2014,50,80
CVI,NA,1,0,71.86,2014,40,70
CVI,NA,2,0,85.06,2014,40,90
CVI,NA,3,0,227.44,2014,40,90
CVI,NA,4,0,139.4,2014,40,90
POD,NA,4,0,45.04,2014,10,60
POD,NA,3,0,78.04,2014,10,60
POD,NA,2,0,36.06,2014,10,60
POD,NA,1,0,46.36,2014,10,60
DUB,NA,1,0,91.56,2014,10,85
DUB,NA,2,0,91.8,2014,10,90
DUB,NA,3,0,43.7,2014,10,85
DUB,NA,4,0,136.68,2014,10,98
LET,NA,1,0,176,2014,10,80
LET,NA,2,0,245.9,2014,10,80
LET,NA,3,0,204.38,2014,10,85
LET,NA,4,0,221.42,2014,10,90
JAZ,NA,1,0,163.02,2014,6,85
JAZ,NA,2,0,159.04,2014,6,90
JAZ,NA,3,0,182.06,2014,6,90
JAZ,NA,4,0,120.14,2014,6,95
ADA,NA,1,0,88.16,2014,15,45
ADA,NA,2,0,135.58,2014,15,70
ADA,NA,3,0,134.5,2014,15,65
ADA,NA,4,0,371.48,2014,15,80
HIG,NA,1,0,196.6,2014,15,60
HIG,NA,2,0,108.44,2014,15,60
HIG,NA,3,0,150.02,2014,15,65
HIG,NA,4,0,172.1,2014,15,50
CER,1,1,2,147.54,2013,5,75
CER,1,2,2,43.52,2013,5,80
CER,1,3,2,37.36,2013,5,80
CER,1,4,2,4.9,2013,5,85
MIK,NA,1,1,134.8,2014,25,50
MIK,NA,2,1,128.8,2014,25,40
MIK,NA,3,1,181.22,2014,25,60
MIK,NA,4,1,68.3,2014,25,50
KOS,NA,1,0,249.04,2015,20,50
KOS,NA,2,0,249.04,2015,20,55
KOS,NA,3,0,153.72,2015,20,60
KOS,NA,4,0,285.78,2015,20,70
SVK,NA,1,1,443.32,2014,30,75
SVK,NA,2,1,354.12,2014,30,60
SVK,NA,3,1,249.38,2014,30,70
SVK,NA,4,1,189.94,2014,30,75
VCL,NA,1,1,216.12,2014,25,85
VCL,NA,2,1,237.52,2014,25,90
VCL,NA,3,1,232.2,2014,25,90
VCL,NA,4,1,187.98,2014,25,90
LOM,NA,1,1,264.68,2014,20,60
LOM,NA,2,1,217.96,2014,20,50
LOM,NA,3,1,206.58,2014,20,50
LOM,NA,4,1,116.7,2014,20,40
SKL,NA,1,1,582.9,2014,50,75
SKL,NA,2,1,521.22,2014,50,97
SKL,NA,3,1,327.72,2014,50,75
SKL,NA,4,1,155.82,2014,50,75
CVI,NA,1,1,192.96,2014,40,85
CVI,NA,2,1,102.66,2014,40,80
CVI,NA,3,1,241.44,2014,40,80
CVI,NA,4,1,212.76,2014,40,70
POD,NA,4,1,48.16,2014,10,65
POD,NA,3,1,29.1,2014,10,60
POD,NA,2,1,99.06,2014,10,70
POD,NA,1,1,127.82,2014,10,65
DUB,NA,1,1,74,2014,10,80
DUB,NA,2,1,66.12,2014,10,90
DUB,NA,3,1,69.54,2014,10,90
DUB,NA,4,1,38.36,2014,10,85
LET,NA,1,1,43.48,2014,10,70
LET,NA,2,1,90.96,2014,10,70
LET,NA,3,1,16.36,2014,10,60
LET,NA,4,1,10.9,2014,10,60
JAZ,NA,1,1,216.6,2014,6,85
JAZ,NA,2,1,240.76,2014,6,85
JAZ,NA,3,1,262.68,2014,6,90
JAZ,NA,4,1,92.24,2014,6,85
ADA,NA,1,1,102.46,2014,15,50
ADA,NA,2,1,78.2,2014,15,70
ADA,NA,3,1,49,2014,15,65
ADA,NA,4,1,77.32,2014,15,65
HIG,NA,1,1,455.44,2014,15,70
HIG,NA,2,1,160.4,2014,15,75
HIG,NA,3,1,345.24,2014,15,70
HIG,NA,4,1,159.8,2014,15,70
ADA,NA,1,2,48.4,2014,15,65
ADA,NA,2,2,70.4,2014,15,80
ADA,NA,3,2,35.24,2014,15,70
ADA,NA,4,2,9.16,2014,15,65
CER,1,1,3,435.56,2013,5,85
CER,1,2,3,86.66,2013,5,90
CER,1,3,3,86.58,2013,5,85
CER,1,4,3,14.54,2013,5,95
HIG,NA,1,2,285.08,2014,15,60
HIG,NA,2,2,186.44,2014,15,60
HIG,NA,3,2,183.12,2014,15,50
HIG,NA,4,2,84.02,2014,15,60
JAZ,NA,1,2,145.36,2014,6,90
JAZ,NA,2,2,100.32,2014,6,90
JAZ,NA,3,2,44.16,2014,6,90
JAZ,NA,4,2,9.76,2014,6,70
KOS,NA,1,1,174.26,2015,20,50
KOS,NA,2,1,71.06,2015,20,55
KOS,NA,3,1,140.04,2015,20,60
KOS,NA,4,1,69.36,2015,20,50
LET,NA,1,2,150.18,2014,10,85
LET,NA,2,2,113.74,2014,10,80
LET,NA,3,2,51.34,2014,10,75
LET,NA,4,2,3.5,2014,10,75
MIK,NA,1,2,139.74,2014,25,70
MIK,NA,2,2,125.96,2014,25,55
MIK,NA,3,2,16.94,2014,25,40
MIK,NA,4,2,2.9,2014,25,30
DUB,NA,1,2,68.5,2014,10,95
DUB,NA,2,2,47.22,2014,10,90
DUB,NA,3,2,31.1,2014,10,80
DUB,NA,4,2,11.88,2014,10,80
POD,NA,4,2,17.12,2014,10,55
POD,NA,3,2,6.18,2014,10,55
POD,NA,2,2,74,2014,10,60
POD,NA,1,2,136.7,2014,10,60
ADA,NA,1,3,17.4,2014,15,60
ADA,NA,2,3,11.8,2014,15,75
ADA,NA,3,3,0,2014,15,50
ADA,NA,4,3,0.8,2014,15,50
HIG,NA,1,3,96.4,2014,15,40
HIG,NA,2,3,41.6,2014,15,35
HIG,NA,3,3,40.4,2014,15,35
HIG,NA,4,3,10,2014,15,35
JAZ,NA,1,3,101.4,2014,6,70
JAZ,NA,2,3,36.4,2014,6,70
JAZ,NA,3,3,15.6,2014,6,65
JAZ,NA,4,3,4.6,2014,6,50
LET,NA,1,3,27.6,2014,10,80
LET,NA,2,3,33.4,2014,10,70
LET,NA,3,3,7.6,2014,10,70
LET,NA,4,3,2,2014,10,65
MIK,NA,1,3,58.4,2014,25,60
MIK,NA,2,3,20.8,2014,25,55
MIK,NA,3,3,11.6,2014,25,35
MIK,NA,4,3,0.4,2014,25,25
DUB,NA,1,3,18.4,2014,10,85
DUB,NA,2,3,0,2014,10,80
DUB,NA,3,3,2.4,2014,10,80
DUB,NA,4,3,0,2014,10,65
POD,NA,4,3,4.6,2014,10,60
POD,NA,3,3,6,2014,10,60
POD,NA,2,3,18.8,2014,10,65
POD,NA,1,3,60.4,2014,10,50
SVK,NA,1,2,584.6,2014,30,99
SVK,NA,2,2,341.4,2014,30,93
SVK,NA,3,2,85.2,2014,30,93
SVK,NA,4,2,132.4,2014,30,93
SVK,NA,1,3,284.6,2014,30,90
SVK,NA,2,3,195.4,2014,30,70
SVK,NA,3,3,67.4,2014,30,70
SVK,NA,4,3,45.6,2014,30,85
VCL,NA,1,2,209.2,2014,25,99
VCL,NA,2,2,137.6,2014,25,99
VCL,NA,3,2,199.4,2014,25,99
VCL,NA,4,2,85.2,2014,25,99
VCL,NA,1,3,63.4,2014,25,98
VCL,NA,2,3,109.8,2014,25,98
VCL,NA,3,3,115.2,2014,25,98
VCL,NA,4,3,9.8,2014,25,98
LOM,NA,1,2,266,2014,20,70
LOM,NA,2,2,168.4,2014,20,70
LOM,NA,3,2,82.2,2014,20,60
LOM,NA,4,2,81.8,2014,20,70
LOM,NA,1,3,184.6,2014,20,90
LOM,NA,2,3,144,2014,20,80
LOM,NA,3,3,37.8,2014,20,90
LOM,NA,4,3,65.4,2014,20,70
SKL,NA,1,2,385.6,2014,50,97
SKL,NA,2,2,293.8,2014,50,99
SKL,NA,3,2,196.2,2014,50,80
SKL,NA,4,2,40.4,2014,50,75
SKL,NA,1,3,152.2,2014,50,97
SKL,NA,2,3,160.8,2014,50,98
SKL,NA,3,3,32.2,2014,50,75
SKL,NA,4,3,2.2,2014,50,75
CVI,NA,1,2,73.8,2014,40,93
CVI,NA,2,2,144.8,2014,40,93
CVI,NA,3,2,68.8,2014,40,90
CVI,NA,4,2,40.4,2014,40,93
CVI,NA,1,3,60.6,2014,40,85
CVI,NA,2,3,80,2014,40,90
CVI,NA,3,3,59.4,2014,40,98
CVI,NA,4,3,14.8,2014,40,95
KOS,NA,1,2,98.6,2015,20,50
KOS,NA,2,2,53.8,2015,20,60
KOS,NA,3,2,43,2015,20,40
KOS,NA,4,2,51.2,2015,20,40
DUC,NA,1,2,75.44,2014,10,92
DUC,NA,2,2,8.98,2014,10,85
DUC,NA,3,2,48.32,2014,10,90
DUC,NA,4,2,22.36,2014,10,93
DUC2,NA,3,2,71.22,2014,10,93
DUC2,NA,4,2,58.24,2014,10,85
DUC,NA,1,0,63.48,2014,10,75
DUC,NA,2,0,79,2014,10,90
DUC,NA,3,0,87.66,2014,10,90
DUC,NA,4,0,81,2014,10,75
DUC2,NA,3,0,105.12,2014,10,75
DUC2,NA,4,0,115.22,2014,10,75
DUC,NA,1,1,100.64,2014,10,85
DUC,NA,2,1,24.92,2014,10,95
DUC,NA,3,1,95.54,2014,10,93
DUC,NA,4,1,50.7,2014,10,85
DUC2,NA,3,1,104.72,2014,10,93
DUC2,NA,4,1,85.74,2014,10,85
ILI,NA,1,0,211.64,2014,10,80
ILI,NA,2,0,242.98,2014,10,70
ILI,NA,3,0,279.08,2014,10,55
ILI,NA,4,0,237.9,2014,10,65
ILI2,NA,3,0,340.26,2014,10,70
ILI2,NA,4,0,95.24,2014,10,50
ILI,NA,1,1,436.34,2014,10,80
ILI,NA,2,1,233.68,2014,10,85
ILI,NA,3,1,175.54,2014,10,85
ILI,NA,4,1,105.56,2014,10,90
ILI2,NA,3,1,250.76,2014,10,90
ILI2,NA,4,1,79.16,2014,10,80
ILI,NA,1,2,436.34,2014,10,80
ILI,NA,2,2,233.68,2014,10,80
ILI,NA,3,2,175.54,2014,10,90
ILI,NA,4,2,105.56,2014,10,90
ILI2,NA,3,2,250.76,2014,10,90
ILI2,NA,4,2,79.16,2014,10,80
ILI,NA,1,3,283.2,2014,10,70
ILI,NA,2,3,58.66,2014,10,60
ILI,NA,3,3,43.84,2014,10,80
ILI,NA,4,3,23.66,2014,10,65
ILI2,NA,3,3,74.3,2014,10,85
ILI2,NA,4,3,4.82,2014,10,70
KYS,NA,1,0,262.92,2014,12,70
KYS,NA,2,0,239.72,2014,12,70
KYS,NA,3,0,156.16,2014,12,80
KYS,NA,4,0,222.1,2014,12,85
KYS2,NA,3,0,294.4,2014,12,85
KYS2,NA,4,0,237.04,2014,12,80
KYS,NA,1,1,375.88,2014,12,85
KYS,NA,2,1,142.64,2014,12,75
KYS,NA,3,1,128.7,2014,12,95
KYS,NA,4,1,177.56,2014,12,85
KYS2,NA,3,1,390.48,2014,12,99
KYS2,NA,4,1,291.7,2014,12,85
KYS,NA,1,2,228.82,2014,12,85
KYS,NA,2,2,106.74,2014,12,87
KYS,NA,3,2,86.66,2014,12,95
KYS,NA,4,2,132.4,2014,12,85
KYS2,NA,3,2,332.72,2014,12,90
KYS2,NA,4,2,207.96,2014,12,80
KYS,NA,1,3,191.98,2014,12,90
KYS,NA,2,3,90.08,2014,12,85
KYS,NA,3,3,58.78,2014,12,95
KYS,NA,4,3,149.58,2014,12,95
KYS2,NA,3,3,377.54,2014,12,99
KYS2,NA,4,3,178.28,2014,12,95
CER,1,1,0,145.6,2013,5,85
CER,1,2,0,116.6,2013,5,90
CER,1,3,0,102,2013,5,95
CER,1,4,0,122.8,2013,5,95
SVI,4,1,1,248.2,2012,80,85
SVI,4,2,1,511.5,2012,80,90
SVI,4,3,1,293.5,2012,80,90
SVI,4,4,1,14.6,2012,80,90
SVI,4,1,0,234.9,2012,80,95
SVI,4,2,0,385,2012,80,95
SVI,4,3,0,208.8,2012,80,95
SVI,4,4,0,143.1,2012,80,90
SVI,4,1,2,94.44,2012,80,90
SVI,4,2,2,177.33,2012,80,85
SVI,4,3,2,20.18,2012,80,80
SVI,4,4,2,0,2012,80,75
SVI,4,1,3,210.53,2012,80,90
SVI,4,2,3,193.97,2012,80,85
SVI,4,3,3,75.61,2012,80,90
SVI,4,4,3,5.87,2012,80,90
ILI,NA,0,0,NA,2014,NA,85
ILI,NA,0,1,NA,2015,NA,60
ILI,NA,0,2,NA,2016,NA,90
ILI,NA,0,3,NA,2017,NA,55
DUC,NA,0,0,NA,2014,NA,60
DUC,NA,0,1,NA,2015,NA,45
DUC,NA,0,2,NA,2016,NA,60
KYS,NA,0,0,NA,2014,NA,85
KYS,NA,0,1,NA,2015,NA,80
KYS,NA,0,2,NA,2016,NA,95
KYS,NA,0,3,NA,2017,NA,70
SVK,NA,0,0,NA,2014,NA,80
SVK,NA,0,1,NA,2015,NA,60
SVK,NA,0,2,NA,2016,NA,95
SVK,NA,0,3,NA,2017,NA,65
SKL,NA,0,0,NA,2014,NA,90
SKL,NA,0,1,NA,2015,NA,85
SKL,NA,0,2,NA,2016,NA,99
SKL,NA,0,3,NA,2017,NA,85
LOM,NA,0,0,NA,2014,NA,60
LOM,NA,0,1,NA,2015,NA,65
LOM,NA,0,2,NA,2016,NA,80
LOM,NA,0,3,NA,2017,NA,70
CVI,NA,0,0,NA,2014,NA,95
CVI,NA,0,1,NA,2015,NA,95
CVI,NA,0,2,NA,2016,NA,70
CVI,NA,0,3,NA,2017,NA,80
VCL,NA,0,0,NA,2014,NA,95
VCL,NA,0,1,NA,2015,NA,80
VCL,NA,0,2,NA,2016,NA,99
VCL,NA,0,3,NA,2017,NA,75
MIK,NA,0,0,NA,2014,NA,65
MIK,NA,0,1,NA,2015,NA,50
MIK,NA,0,2,NA,2016,NA,60
MIK,NA,0,3,NA,2017,NA,60
JAZ,NA,0,0,NA,2014,NA,95
JAZ,NA,0,1,NA,2015,NA,85
JAZ,NA,0,2,NA,2016,NA,85
JAZ,NA,0,3,NA,2017,NA,50
ADA,NA,0,0,NA,2014,NA,45
ADA,NA,0,1,NA,2015,NA,50
ADA,NA,0,2,NA,2016,NA,65
ADA,NA,0,3,NA,2017,NA,70
KOS,NA,0,0,NA,2015,NA,60
KOS,NA,0,1,NA,2016,NA,65
KOS,NA,0,2,NA,2017,NA,60
HIG,NA,0,0,NA,2014,NA,70
HIG,NA,0,1,NA,2015,NA,70
HIG,NA,0,2,NA,2016,NA,60
HIG,NA,0,3,NA,2017,NA,NA
ZUB,NA,0,0,NA,2014,NA,80
ZUB,NA,1,0,NA,2014,NA,90
ZUB,NA,2,0,NA,2014,NA,95
ZUB,NA,3,0,NA,2014,NA,95
ZUB,NA,4,0,NA,2014,NA,80
ZUB,NA,0,1,NA,2014,NA,70
ZUB,NA,1,1,NA,2014,NA,85
ZUB,NA,2,1,NA,2014,NA,70
ZUB,NA,3,1,NA,2014,NA,75
ZUB,NA,4,1,NA,2014,NA,75
ZUB,NA,0,2,NA,2014,NA,80
ZUB,NA,1,2,NA,2014,NA,85
ZUB,NA,2,2,NA,2014,NA,80
ZUB,NA,3,2,NA,2014,NA,75
ZUB,NA,4,2,NA,2014,NA,65
